timestampe,open,high,low,close,volume,time
1574807760000,2.6105,2.6108,2.6103,2.6103,558.1,2019-11-26T22:36:00.000000Z
1574807820000,2.6093,2.6093,2.6093,2.6093,10.0,2019-11-26T22:37:00.000000Z
1574807880000,2.6093,2.6106,2.6091,2.6106,87.82,2019-11-26T22:38:00.000000Z
1574807940000,2.6108,2.6123,2.6108,2.6117,4102.26,2019-11-26T22:39:00.000000Z
1574808000000,2.6123,2.6141,2.6123,2.6141,1665.66,2019-11-26T22:40:00.000000Z
1574808060000,2.6142,2.6165,2.6142,2.6147,2214.16,2019-11-26T22:41:00.000000Z
1574808120000,2.6148,2.6148,2.6145,2.6145,257.53,2019-11-26T22:42:00.000000Z
1574808180000,2.6145,2.6145,2.6145,2.6145,0.0,2019-11-26T22:43:00.000000Z
1574808240000,2.6162,2.6163,2.6142,2.6142,2935.71,2019-11-26T22:44:00.000000Z
1574808300000,2.6165,2.6166,2.616,2.616,79.35,2019-11-26T22:45:00.000000Z
1574808360000,2.616,2.616,2.616,2.616,0.0,2019-11-26T22:46:00.000000Z
1574808420000,2.6149,2.6169,2.6149,2.6169,19.44,2019-11-26T22:47:00.000000Z
1574808480000,2.616,2.616,2.616,2.616,28.79,2019-11-26T22:48:00.000000Z
1574808540000,2.617,2.6175,2.617,2.6175,56.31,2019-11-26T22:49:00.000000Z
1574808600000,2.6173,2.6179,2.6173,2.6173,411.23,2019-11-26T22:50:00.000000Z
1574808660000,2.6179,2.6198,2.6179,2.6198,103.09,2019-11-26T22:51:00.000000Z
1574808720000,2.6188,2.6205,2.6188,2.6205,574.5,2019-11-26T22:52:00.000000Z
1574808780000,2.6205,2.6205,2.6205,2.6205,0.0,2019-11-26T22:53:00.000000Z
1574808840000,2.6205,2.6212,2.6205,2.621,1137.32,2019-11-26T22:54:00.000000Z
1574808900000,2.6223,2.624,2.6223,2.6235,1707.46,2019-11-26T22:55:00.000000Z
1574808960000,2.6228,2.6236,2.622,2.622,1312.41,2019-11-26T22:56:00.000000Z
1574809020000,2.6232,2.624,2.6232,2.624,151.16,2019-11-26T22:57:00.000000Z
1574809080000,2.6241,2.6254,2.619,2.6209,5677.93,2019-11-26T22:58:00.000000Z
1574809140000,2.6183,2.6183,2.6167,2.6167,4833.83,2019-11-26T22:59:00.000000Z
1574809200000,2.6168,2.6185,2.6168,2.6185,304.7,2019-11-26T23:00:00.000000Z
1574809260000,2.6184,2.6233,2.6184,2.6205,10071.93,2019-11-26T23:01:00.000000Z
1574809320000,2.6233,2.6233,2.621,2.621,4073.13,2019-11-26T23:02:00.000000Z
1574809380000,2.6219,2.6219,2.6176,2.6205,4214.96,2019-11-26T23:03:00.000000Z
