timestampe,open,high,low,close,volume,time
1574644680000,6890.0,6890.0,6890.0,6890.0,0.00747966,2019-11-25T01:18:00.000000Z
1574645700000,6890.0,6890.0,6830.0,6830.0,0.37247526,2019-11-25T01:35:00.000000Z
1574645760000,6830.0,6830.0,6830.0,6830.0,0.01270154,2019-11-25T01:36:00.000000Z
1574645940000,6830.0,6830.0,6736.872,6736.872,0.00246627,2019-11-25T01:39:00.000000Z
1574646000000,6710.285,6710.285,6700.0,6700.0,0.00943686,2019-11-25T01:40:00.000000Z
1574646120000,6705.0,6705.0,6705.0,6705.0,0.0127424,2019-11-25T01:42:00.000000Z
1574646360000,6735.0,6735.0,6735.0,6735.0,0.01262375,2019-11-25T01:46:00.000000Z
1574646480000,6705.0,6705.0,6705.0,6705.0,0.0329468,2019-11-25T01:48:00.000000Z
1574647320000,6736.872,6736.872,6736.872,6736.872,1.4e-07,2019-11-25T02:02:00.000000Z
1574647740000,6736.872,6736.872,6736.872,6736.872,0.00161078,2019-11-25T02:09:00.000000Z
1574647920000,6736.872,6736.872,6736.872,6736.872,0.00043074,2019-11-25T02:12:00.000000Z
1574648460000,6700.0,6700.0,6700.0,6700.0,0.00967774,2019-11-25T02:21:00.000000Z
1574648520000,6542.0,6542.0,6542.0,6542.0,0.02723001,2019-11-25T02:22:00.000000Z
1574649780000,7089.99999999,7089.99999999,7089.99999999,7089.99999999,9.8e-07,2019-11-25T02:43:00.000000Z
1574649960000,6541.0,6541.0,6460.00000001,6460.00000001,0.00742905,2019-11-25T02:46:00.000000Z
1574650380000,6999.99999999,6999.99999999,6999.99999999,6999.99999999,0.00757007,2019-11-25T02:53:00.000000Z
1574650560000,6295.5,6295.5,6295.5,6295.5,0.00626472,2019-11-25T02:56:00.000000Z
1574650740000,6925.05,6925.05,6710.0,6710.0,0.01478477,2019-11-25T02:59:00.000000Z
1574657520000,6894.999,6894.999,6894.999,6894.999,0.00620856,2019-11-25T04:52:00.000000Z
1574657580000,6894.999,6894.999,6894.999,6894.999,0.00078835,2019-11-25T04:53:00.000000Z
1574657820000,6305.0,6305.0,6305.0,6305.0,0.00811487,2019-11-25T04:57:00.000000Z
1574658180000,6890.0,6890.0,6890.0,6890.0,0.01721392,2019-11-25T05:03:00.000000Z
1574658480000,6475.001,6475.001,6475.0,6475.0,0.0118117,2019-11-25T05:08:00.000000Z
1574659260000,6565.00000001,6599.99999999,6474.99999999,6599.99999999,0.307639,2019-11-25T05:21:00.000000Z
1574660460000,6495.00000001,6495.00000001,6495.00000001,6495.00000001,0.00758136,2019-11-25T05:41:00.000000Z
1574660580000,6585.0,6585.0,6585.0,6585.0,0.00296465,2019-11-25T05:43:00.000000Z
1574660640000,6585.0,6585.0,6585.0,6585.0,0.00325883,2019-11-25T05:44:00.000000Z
1574660700000,6560.0,6560.0,6560.0,6560.0,0.00276447,2019-11-25T05:45:00.000000Z
1574661780000,6560.0,6560.0,6560.0,6560.0,0.05806546,2019-11-25T06:03:00.000000Z
1574661840000,6565.0,6565.0,6565.0,6565.0,0.00457853,2019-11-25T06:04:00.000000Z
1574661900000,6565.0,6565.0,6565.0,6565.0,0.01423321,2019-11-25T06:05:00.000000Z
1574661960000,6594.99899998,6594.99899998,6594.99899998,6594.99899998,0.00251033,2019-11-25T06:06:00.000000Z
1574662320000,6565.0,6565.0,6565.0,6565.0,0.05806546,2019-11-25T06:12:00.000000Z
1574662440000,6565.0,6565.0,6565.0,6565.0,0.00013705,2019-11-25T06:14:00.000000Z
1574662560000,6599.99999999,6599.99999999,6599.99999999,6599.99999999,0.00256552,2019-11-25T06:16:00.000000Z
1574662920000,6600.0,6600.0,6600.0,6600.0,7.7e-07,2019-11-25T06:22:00.000000Z
1574664120000,6600.0,6600.0,6600.0,6600.0,1.019e-05,2019-11-25T06:42:00.000000Z
1574664780000,6684.99899999,6684.99899999,6684.99899999,6684.99899999,2.94e-06,2019-11-25T06:53:00.000000Z
1574666280000,6684.99899999,6684.99899999,6684.99899999,6684.99899999,0.00603095,2019-11-25T07:18:00.000000Z
1574666400000,6684.99899999,6700.0,6684.99899999,6700.0,0.14403375,2019-11-25T07:20:00.000000Z
1574667000000,6794.99999999,6794.99999999,6794.99999999,6794.99999999,0.01605447,2019-11-25T07:30:00.000000Z
1574667060000,6794.99999999,6794.99999999,6680.0,6680.0,0.10054348,2019-11-25T07:31:00.000000Z
1574667540000,6680.00000001,6680.00000001,6680.00000001,6680.00000001,0.00742232,2019-11-25T07:39:00.000000Z
1574667660000,6680.0,6680.0,6680.0,6680.0,0.00016281,2019-11-25T07:41:00.000000Z
1574668740000,6680.0,6680.0,6680.0,6680.0,0.00549465,2019-11-25T07:59:00.000000Z
1574669280000,6680.00000001,6680.00000001,6680.00000001,6680.00000001,0.00740625,2019-11-25T08:08:00.000000Z
1574670720000,6680.00000001,6680.00000001,6680.00000001,6680.00000001,0.00097777,2019-11-25T08:32:00.000000Z
1574670780000,6660.001,6660.001,6660.001,6660.001,0.09138688,2019-11-25T08:33:00.000000Z
1574670900000,6780.0,6780.0,6780.0,6780.0,0.02661837,2019-11-25T08:35:00.000000Z
1574671020000,6660.002,6660.002,6660.001,6660.001,0.0059985,2019-11-25T08:37:00.000000Z
1574671080000,6779.99899999,6779.99899999,6779.99899999,6779.99899999,0.00095854,2019-11-25T08:38:00.000000Z
1574671440000,6665.001,6665.001,6665.0,6665.0,0.01080598,2019-11-25T08:44:00.000000Z
1574672280000,6665.0,6665.0,6665.0,6665.0,0.00509439,2019-11-25T08:58:00.000000Z
1574673180000,6670.0,6670.0,6670.0,6670.0,0.0062984,2019-11-25T09:13:00.000000Z
1574674560000,6765.0,6765.0,6765.0,6765.0,0.007629,2019-11-25T09:36:00.000000Z
1574674620000,6769.99999998,6769.99999998,6769.99999998,6769.99999998,0.003812,2019-11-25T09:37:00.000000Z
1574674680000,6670.00000001,6670.00000001,6670.00000001,6670.00000001,0.00809534,2019-11-25T09:38:00.000000Z
1574674920000,6779.99899997,6779.99899997,6779.99899997,6779.99899997,0.00125156,2019-11-25T09:42:00.000000Z
1574674980000,6779.99899997,6779.99899997,6779.99899996,6779.99899996,0.00500624,2019-11-25T09:43:00.000000Z
1574675040000,6785.0,6785.164,6785.0,6785.0,0.019003,2019-11-25T09:44:00.000000Z
1574675280000,6784.999,6785.0,6784.999,6785.0,0.01123594,2019-11-25T09:48:00.000000Z
1574675340000,6785.0,6785.0,6785.0,6785.0,0.00623705,2019-11-25T09:49:00.000000Z
1574675460000,6705.001,6705.001,6705.00000001,6705.00000001,0.00536228,2019-11-25T09:51:00.000000Z
1574678760000,6665.001,6665.001,6665.001,6665.001,0.0001364,2019-11-25T10:46:00.000000Z
1574679000000,6785.164,6795.0,6785.164,6795.0,0.16467648,2019-11-25T10:50:00.000000Z
1574679360000,6889.99999999,6889.99999999,6889.99999999,6889.99999999,0.00016089,2019-11-25T10:56:00.000000Z
1574679480000,6894.99799999,6910.99999982,6894.99799999,6910.99999982,0.1354793,2019-11-25T10:58:00.000000Z
1574679660000,6910.99999982,6910.99999982,6910.99999982,6910.99999982,0.00059169,2019-11-25T11:01:00.000000Z
1574680140000,6925.00000004,6925.00000004,6925.00000004,6925.00000004,0.00717368,2019-11-25T11:09:00.000000Z
1574680560000,6925.001,6925.001,6925.00000004,6925.00000004,0.19942952,2019-11-25T11:16:00.000000Z
1574681340000,6925.00000004,6925.00000004,6925.00000004,6925.00000004,0.00153469,2019-11-25T11:29:00.000000Z
1574681400000,6925.00000004,6925.00000004,6925.00000004,6925.00000004,2.61e-06,2019-11-25T11:30:00.000000Z
1574681460000,6925.00000004,6925.00000004,6925.00000004,6925.00000004,3.11e-06,2019-11-25T11:31:00.000000Z
1574682360000,6925.00000004,6925.00000004,6925.00000004,6925.00000004,0.00010598,2019-11-25T11:46:00.000000Z
1574684100000,6925.00000004,6925.00000004,6925.00000004,6925.00000004,8.5e-07,2019-11-25T12:15:00.000000Z
1574684340000,6900.0,6900.0,6900.0,6900.0,8e-08,2019-11-25T12:19:00.000000Z
1574684820000,6925.00000004,7130.0,6925.00000004,7130.0,0.00743182,2019-11-25T12:27:00.000000Z
1574685120000,7130.0,7130.0,7130.0,7130.0,0.04349517,2019-11-25T12:32:00.000000Z
1574685660000,7130.001,7130.001,7130.0,7130.0,0.04442037,2019-11-25T12:41:00.000000Z
1574685900000,7005.001,7005.001,7005.001,7005.001,9.834e-05,2019-11-25T12:45:00.000000Z
1574686260000,7129.999,7130.0,7129.999,7130.0,0.03443585,2019-11-25T12:51:00.000000Z
1574686860000,7200.0,7200.0,7200.0,7200.0,0.02361574,2019-11-25T13:01:00.000000Z
1574689380000,7304.99999999,7304.99999999,7304.99999999,7304.99999999,0.00021277,2019-11-25T13:43:00.000000Z
1574689620000,7304.99999999,7304.99999999,7304.99999999,7304.99999999,9.383e-05,2019-11-25T13:47:00.000000Z
1574689680000,7200.0,7200.0,7200.0,7200.0,0.00054737,2019-11-25T13:48:00.000000Z
1574690640000,7200.0,7200.0,7200.0,7200.0,2.414e-05,2019-11-25T14:04:00.000000Z
1574693280000,7200.0,7200.0,7200.0,7200.0,0.00021463,2019-11-25T14:48:00.000000Z
1574695740000,7305.0,7305.0,7305.0,7305.0,0.11875377,2019-11-25T15:29:00.000000Z
1574696280000,7305.0,7305.0,6795.0,6795.0,0.45362702,2019-11-25T15:38:00.000000Z
1574696460000,7305.0,7309.99799999,7305.0,7309.99799999,0.0218025,2019-11-25T15:41:00.000000Z
1574697840000,7310.0,7310.0,7310.0,7310.0,0.04166393,2019-11-25T16:04:00.000000Z
1574698080000,7310.0,7310.0,7310.0,7310.0,0.00097689,2019-11-25T16:08:00.000000Z
1574698260000,6855.00000001,6855.00000001,6855.00000001,6855.00000001,0.00330021,2019-11-25T16:11:00.000000Z
1574698500000,7518.50000001,7518.50000001,7518.5,7518.5,0.0232221,2019-11-25T16:15:00.000000Z
1574698680000,6815.0,6815.0,6815.0,6815.0,0.00722485,2019-11-25T16:18:00.000000Z
1574698740000,6850.001,7514.999,6850.0,7514.999,0.01967417,2019-11-25T16:19:00.000000Z
1574698800000,6800.0,7510.0,6800.0,7510.0,0.01778743,2019-11-25T16:20:00.000000Z
1574698860000,7510.0,7515.0,7510.0,7515.0,0.0123434,2019-11-25T16:21:00.000000Z
1574698920000,7507.5011,7507.5011,7507.5011,7507.5011,0.00924928,2019-11-25T16:22:00.000000Z
1574699220000,6835.001,6850.0,6756.7509,6756.7509,0.02032031,2019-11-25T16:27:00.000000Z
1574699280000,6756.7509,7507.501,6756.7509,7507.501,0.01181764,2019-11-25T16:28:00.000000Z
1574699340000,6785.0,6785.0,6785.0,6785.0,0.01723309,2019-11-25T16:29:00.000000Z
1574699520000,7348.0,7348.0,7348.0,7348.0,0.00500164,2019-11-25T16:32:00.000000Z
1574699760000,6675.00000001,6675.00000001,6675.00000001,6675.00000001,0.00938854,2019-11-25T16:36:00.000000Z
1574699820000,7344.999,7345.0,7344.999,7345.0,0.00781812,2019-11-25T16:37:00.000000Z
1574700300000,6900.0,6900.0,6900.0,6900.0,1.3e-07,2019-11-25T16:45:00.000000Z
1574700480000,7100.0,7590.00000001,7100.0,7590.00000001,0.00690221,2019-11-25T16:48:00.000000Z
1574700540000,7590.00000001,7590.00000001,7590.00000001,7590.00000001,0.0004891,2019-11-25T16:49:00.000000Z
1574700720000,6900.0,7590.0,6831.0,7590.0,0.01273207,2019-11-25T16:52:00.000000Z
1574700780000,6831.0,6831.0,6831.0,6831.0,0.01359775,2019-11-25T16:53:00.000000Z
1574700960000,7518.5,7518.5,7205.0,7205.0,0.01832999,2019-11-25T16:56:00.000000Z
1574715840000,7205.0,7205.0,7205.0,7205.0,0.00021976,2019-11-25T21:04:00.000000Z
1574717460000,7514.99999998,7514.99999998,7514.99999998,7514.99999998,3.83e-06,2019-11-25T21:31:00.000000Z
1574717580000,6845.001,6845.001,6845.001,6845.001,3.83e-06,2019-11-25T21:33:00.000000Z
1574718180000,7514.99899999,7514.99899999,7514.99899999,7514.99899999,0.00669855,2019-11-25T21:43:00.000000Z
1574718360000,6860.0,6860.0,6860.0,6860.0,0.01295025,2019-11-25T21:46:00.000000Z
1574718480000,7000.0,7000.0,7000.0,7000.0,0.0032,2019-11-25T21:48:00.000000Z
1574721660000,7065.0,7515.0,7065.0,7065.0,0.16006693,2019-11-25T22:41:00.000000Z
1574721720000,7140.0,7140.0,7140.0,7140.0,0.0134666,2019-11-25T22:42:00.000000Z
1574723400000,7105.0,7140.0,7105.0,7140.0,0.35684549,2019-11-25T23:10:00.000000Z
1574723460000,7140.0,7145.0,7140.0,7145.0,0.1189485,2019-11-25T23:11:00.000000Z
1574724480000,7145.00100001,7145.00100001,7145.00100001,7145.00100001,0.00692753,2019-11-25T23:28:00.000000Z
1574725380000,7145.00100001,7145.002,7145.00100001,7145.00100001,0.39969122,2019-11-25T23:43:00.000000Z
1574725680000,7139.999,7140.0,7139.999,7140.0,0.13877781,2019-11-25T23:48:00.000000Z
1574726280000,7145.0,7145.0,7145.0,7145.0,7.2e-07,2019-11-25T23:58:00.000000Z
1574727240000,7075.00000001,7075.00000001,7075.00000001,7075.00000001,1.3e-07,2019-11-26T00:14:00.000000Z
1574727300000,7107.0,7145.0,7107.0,7145.0,0.00199369,2019-11-26T00:15:00.000000Z
1574729760000,7144.99999999,7145.0,7144.99999999,7145.0,0.04677922,2019-11-26T00:56:00.000000Z
1574731500000,7145.0,7145.0,7145.0,7145.0,5.2e-07,2019-11-26T01:25:00.000000Z
1574732100000,7145.0,7145.001,7145.0,7145.001,0.00643863,2019-11-26T01:35:00.000000Z
1574732520000,7145.001,7145.001,7145.001,7145.001,1.1e-05,2019-11-26T01:42:00.000000Z
1574733540000,7145.001,7145.001,7145.001,7145.001,0.01096478,2019-11-26T01:59:00.000000Z
1574733600000,7105.00000001,7105.00000001,7105.00000001,7105.00000001,0.00194934,2019-11-26T02:00:00.000000Z
1574733840000,7145.002,7145.002,7145.002,7145.002,0.00148629,2019-11-26T02:04:00.000000Z
1574733960000,7504.99999999,7505.0,7504.99999999,7505.0,0.00988968,2019-11-26T02:06:00.000000Z
1574734080000,7155.00100001,7155.00100001,7155.0,7155.0,0.00951022,2019-11-26T02:08:00.000000Z
1574735280000,7154.999,7155.0,7154.999,7155.0,0.06045114,2019-11-26T02:28:00.000000Z
1574738640000,7154.99999994,7154.99999994,7154.99999994,7154.99999994,0.00704182,2019-11-26T03:24:00.000000Z
1574738700000,7154.99999995,7154.99999995,7154.99999995,7154.99999995,0.07564008,2019-11-26T03:25:00.000000Z
1574739480000,7154.99999995,7154.99999995,7154.99999995,7154.99999995,0.01306774,2019-11-26T03:38:00.000000Z
1574739540000,7154.99999995,7154.99999995,7154.99999995,7154.99999995,0.00232384,2019-11-26T03:39:00.000000Z
1574742240000,7200.001,7200.001,7200.0,7200.0,0.00437337,2019-11-26T04:24:00.000000Z
1574742480000,7504.99899999,7504.99899999,7504.99899999,7504.99899999,5.07e-05,2019-11-26T04:28:00.000000Z
1574742540000,7504.99899999,7504.99899999,7210.0,7210.0,0.01139735,2019-11-26T04:29:00.000000Z
1574742600000,7165.0,7504.999,7165.0,7504.999,9.886e-05,2019-11-26T04:30:00.000000Z
1574742900000,7175.00000001,7175.00000001,7165.0,7165.0,0.01330786,2019-11-26T04:35:00.000000Z
1574746560000,7200.0,7200.0,7200.0,7200.0,0.01704793,2019-11-26T05:36:00.000000Z
1574746680000,7250.0,7250.0,7250.0,7250.0,0.00481962,2019-11-26T05:38:00.000000Z
1574747100000,7200.0,7250.0,7200.0,7250.0,0.0008633,2019-11-26T05:45:00.000000Z
1574748840000,7250.0,7250.0,7250.0,7250.0,0.06633424,2019-11-26T06:14:00.000000Z
1574749980000,7287.99999999,7300.0,7287.99999999,7300.0,0.01308623,2019-11-26T06:33:00.000000Z
1574750040000,7300.0,7300.0,7300.0,7300.0,0.00042497,2019-11-26T06:34:00.000000Z
1574750940000,7419.999,7419.999,7419.999,7419.999,1.5e-06,2019-11-26T06:49:00.000000Z
1574751240000,7165.0,7165.0,7165.0,7165.0,0.0120179,2019-11-26T06:54:00.000000Z
1574752380000,7170.00000001,7170.00000001,7170.00000001,7170.00000001,0.00697276,2019-11-26T07:13:00.000000Z
1574752620000,7180.0,7180.0,7180.0,7180.0,0.01089007,2019-11-26T07:17:00.000000Z
1574752740000,7269.99899999,7269.99899999,7269.99899999,7269.99899999,0.00037601,2019-11-26T07:19:00.000000Z
1574753100000,7175.00000001,7175.00000001,7175.00000001,7175.00000001,0.00310638,2019-11-26T07:25:00.000000Z
1574753160000,7170.0,7170.0,7170.0,7170.0,0.01582587,2019-11-26T07:26:00.000000Z
1574753280000,7274.999,7275.0,7274.999,7275.0,0.01856807,2019-11-26T07:28:00.000000Z
1574753460000,7160.00100001,7160.00100001,7160.00100001,7160.00100001,0.0069816,2019-11-26T07:31:00.000000Z
1574753520000,7160.00000001,7160.00000001,7160.00000001,7160.00000001,0.19839443,2019-11-26T07:32:00.000000Z
